CHANNEL TOTALS,,,,,,,,,POSTHOG METRICS ,,,,,
Channel,Posts,Views,Clicks,Likes,Retweets,Replies,Engagements,,Total UVs,Signups,Depositors,Deposit Amt (USD),Trades Placed,Active Traders
X Organic,52,"1,091,863","2,895","7,978",956,723,"10,397",,9473,"1,134",161,,"6,935",444
X Giveaways,0,0,0,0,0,0,0,,0,0,0,,0,0
Telegram Organic,0,0,0,0,0,0,0,,120,4,0,,0,0
TG Sponsor Channels,0,0,0,0,0,0,0,,89,1,0,,0,0
Telegram Ads,0,0,0,0,0,0,0,,0,0,0,,0,0
Discord Organic,0,0,0,0,0,0,0,,39,2,0,,0,0
Vision UGC,0,0,0,0,0,0,0,,0,0,0,,0,0
CoConnect Communities,34,0,9,0,0,0,0,,558,109,1,,6,2
Retargeting Ads,0,0,0,0,0,0,0,,0,0,0,,0,0
Lunar Agency,0,0,0,0,0,0,0,,0,0,0,,0,0
Stratosphere (KOL),15,"343,178",0,"2,209",133,295,"2,760",,0,0,0,,0,0
Arcadia (Influencers),23,"407,617",0,"2,859",218,"1,503","4,629",,0,0,0,,0,0
Affiliate+ Partners,0,0,0,0,0,0,0,,0,0,0,,0,0
Instagram,0,0,0,0,0,0,0,,12,0,0,,0,0
TikTok,0,0,0,0,0,0,0,,0,0,0,,0,0
Google Search,0,0,0,0,0,0,0,,0,0,0,,0,0
Unattributed,0,0,0,0,0,0,0,,10005,1560,166,,9189,486
TOTAL,72,"1,842,658","2,904","13,046","1,307","2,521","17,786",,20296,"2,810",328,$0.00,"16,130",932
POST TYPE PERFORMANCE,,,,,,,,,,,,,,
Post Type,Posts,Views,Clicks,Likes,Engagements,,,,,,,,,
News/Breaking,14,"815,951",852,"4,952","6,416",,,,,,,,,
KOL Post,32,"489,416",,"3,748","5,811",,,,,,,,,
WSB Post,3,"255,791",,"1,302","1,555",,,,,,,,,
Original,15,"204,918",852,"2,060","2,658",,,,,,,,,
Announcement,6,"41,751",521,439,563,,,,,,,,,
Market Launch,5,"25,001",670,527,654,,,,,,,,,
WSB Comment,3,"5,588",,18,23,,,,,,,,,
Retweet,12,"4,242",,0,106,,,,,,,,,
Community Post,82,,193,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CHANNEL × POST TYPE,,,,,,,,,,,,,,
Channel,Post Type,Posts,Views,Clicks,Engagements,,,,,,,,,
Arcadia (Influencers),KOL Post,23,407617,,4629,,,,,,,,,
CoConnect Communities,Community Post,82,,193,,,,,,,,,,
Stratosphere (KOL),WSB Post,3,255791,,1555,,,,,,,,,
Stratosphere (KOL),KOL Post,9,81799,,1182,,,,,,,,,
Stratosphere (KOL),WSB Comment,3,5588,,23,,,,,,,,,
X Organic,News/Breaking,14,815951,852,6416,,,,,,,,,
X Organic,Original,15,204918,852,2658,,,,,,,,,
X Organic,Announcement,6,41751,521,563,,,,,,,,,
X Organic,Market Launch,5,25001,670,654,,,,,,,,,
X Organic,Retweet,12,4242,,106,,,,,,,,,
