WORLD CUP vs PD LAUNCH COMPARISON,,,,,
,,,,,
FIRST 4 DAYS,World Cup (Jun 10-13),PD Launch (Aug 28-31),Delta,% Change,Verdict
Impressions,"1,346,367","1,678,191","331,824",+24.6%,PD ahead
Clicks (UTM-attributed),"10,784","58,433","47,649",+441.8%,PD ahead
Unique Visitors,"11,900","18,262","6,362",+53.5%,PD ahead
Signups,"1,257","2,336","1,079",+85.8%,PD ahead
Depositors,98,286,188,+191.8%,PD ahead
Active Traders,626,"1,197",571,+91.2%,PD ahead
Outcome Volume,"$848,400","$2,523,821","$1,675,421",+197.5%,PD ahead
,,,,,
WEEK 1,World Cup (Jun 10-16),PD Launch (Aug 28 - Sep 3),Delta,% Change,Verdict
Impressions,"1,538,005","1,741,838","203,833",+13.3%,PD ahead
Clicks (UTM-attributed),11105,78676,67571,+608.5%,PD ahead
Unique Visitors,18079,23859,5780,+32.0%,PD ahead
Signups,1660,2931,1271,+76.6%,PD ahead
Depositors,169,370,201,+118.9%,PD ahead
Active Traders,1137,1734,597,+52.5%,PD ahead
Outcome Volume,"$1,394,003","$7,090,440","$5,696,437",+408.6%,PD ahead
,,,,,
COST EFFICIENCY (First 4 Days),World Cup,PD Launch,,,
Total Budget Spent (est.),"$50,000","$265,500",,,
Cost per UV,$4,$15,,WC more efficient,
Cost per Signup,$40,$114,,WC more efficient,
Cost per Depositor,$510,$928,,WC more efficient,
Cost per Active Trader,$80,$222,,WC more efficient,
,,,,,
WC CAMPAIGN TOTAL (6 weeks),,,,,
,Impressions,Clicks,UVs,Signups,Depositors
,26882948,610315,69356,5536,704
