Date,Impressions,Clicks,Total Unique Visitors,Signups,Depositors,Active Traders,Volume (Outcome),Volume (HL Frontend),Market Share %,Total HIP-4 Volume,Other Builders
28/08/2026,"161,062",317,603,28,1,42,"$78,426","$589,573",10.48%,"$748,104","$80,105"
29/08/2026,"1,380,785",20546,7684,989,117,367,"$234,630","$417,820",32.42%,"$723,705","$71,255"
30/08/2026,"89,914",20453,5198,674,101,408,"$842,511","$714,344",43.83%,"$1,922,061","$365,206"
31/08/2026,"46,430",17117,4776,645,67,380,"$1,368,254","$829,912",58.80%,"$2,326,765","$128,599"
01/09/2026,"63,647",13207,3546,397,53,315,"$2,906,369","$690,413",72.08%,"$4,031,897","$435,115"
02/09/2026,0,7036,2052,198,31,222,"$1,660,250","$347,605",74.2%,"$2,236,033","$228,178"
03/09/2026,,,,,,,,,,,
04/09/2026,,,,,,,,,,,
05/09/2026,,,,,,,,,,,
06/09/2026,,,,,,,,,,,
07/09/2026,,,,,,,,,,,
08/09/2026,,,,,,,,,,,
09/09/2026,,,,,,,,,,,
10/09/2026,,,,,,,,,,,
11/09/2026,,,,,,,,,,,
12/09/2026,,,,,,,,,,,
13/09/2026,,,,,,,,,,,
14/09/2026,,,,,,,,,,,
15/09/2026,,,,,,,,,,,
16/09/2026,,,,,,,,,,,
17/09/2026,,,,,,,,,,,
18/09/2026,,,,,,,,,,,
19/09/2026,,,,,,,,,,,
20/09/2026,,,,,,,,,,,
21/09/2026,,,,,,,,,,,
22/09/2026,,,,,,,,,,,
23/09/2026,,,,,,,,,,,
24/09/2026,,,,,,,,,,,
25/09/2026,,,,,,,,,,,
26/09/2026,,,,,,,,,,,
27/09/2026,,,,,,,,,,,
28/09/2026,,,,,,,,,,,
29/09/2026,,,,,,,,,,,
30/09/2026,,,,,,,,,,,
01/10/2026,,,,,,,,,,,
02/10/2026,,,,,,,,,,,
03/10/2026,,,,,,,,,,,
04/10/2026,,,,,,,,,,,
05/10/2026,,,,,,,,,,,
06/10/2026,,,,,,,,,,,
07/10/2026,,,,,,,,,,,
