Timestamp (UTC),Date,Hour (UTC),Outcome Volume,HL Frontend Volume,Total HIP-4 Volume,Other Builders,Market Share %,Clicks,Unique Visitors,Signups,Depositors,Active Traders,Trades Placed,Impressions,Outcome Fills,Outcome Traders (API),Run Type
2026-08-28T01:00:00Z,2026-08-28,1,$0,"$10,255","$11,604","$1,349",0.0%,11,7,0,0,0,0,,0,,backfill
2026-08-28T02:00:00Z,2026-08-28,2,0,23667,32254,8587,0.0%,16,22,2,0,0,0,,0,,backfill
2026-08-28T03:00:00Z,2026-08-28,3,248,57973,76246,18025,0.3%,22,31,2,0,2,3,,2,,backfill
2026-08-28T04:00:00Z,2026-08-28,4,347,74981,94881,19553,0.4%,47,38,3,1,5,7,,6,,backfill
2026-08-28T05:00:00Z,2026-08-28,5,1398,93299,115144,20447,1.2%,48,55,4,1,8,17,,24,,backfill
2026-08-28T06:00:00Z,2026-08-28,6,68957,120184,215290,26149,32.0%,48,78,4,1,11,101,,1306,,backfill
2026-08-28T07:00:00Z,2026-08-28,7,69024,131922,228348,27402,30.2%,50,99,5,1,15,109,,1311,,backfill
2026-08-28T08:00:00Z,2026-08-28,8,69141,144427,252639,39071,27.4%,60,123,6,1,19,113,,1318,,backfill
2026-08-28T09:00:00Z,2026-08-28,9,70266,181109,310229,58854,22.6%,109,148,6,1,21,117,,1351,,backfill
2026-08-28T10:00:00Z,2026-08-28,10,70652,201461,331914,59801,21.3%,120,183,7,1,26,128,,1370,,backfill
2026-08-28T11:00:00Z,2026-08-28,11,71239,219325,351966,61402,20.2%,130,204,8,1,27,132,,1391,,backfill
2026-08-28T12:00:00Z,2026-08-28,12,74394,245575,382009,62040,19.5%,142,236,9,1,28,147,,1419,,backfill
2026-08-28T13:00:00Z,2026-08-28,13,74971,280276,418163,62916,17.9%,159,258,9,1,29,160,,1443,,backfill
2026-08-28T14:00:00Z,2026-08-28,14,75701,332111,476676,68864,15.9%,171,292,11,1,30,175,,1473,,backfill
2026-08-28T15:00:00Z,2026-08-28,15,76079,404545,551554,70930,13.8%,181,354,14,1,32,197,,1490,,backfill
2026-08-28T16:00:00Z,2026-08-28,16,76513,473352,622054,72189,12.3%,192,409,16,1,33,208,,1504,,backfill
2026-08-28T17:00:00Z,2026-08-28,17,76680,497196,647776,73900,11.8%,196,427,19,1,36,229,,1514,,backfill
2026-08-28T18:00:00Z,2026-08-28,18,78256,513479,666616,74881,11.7%,223,466,21,1,39,251,,1543,,backfill
2026-08-28T19:00:00Z,2026-08-28,19,78318,527734,682239,76187,11.5%,230,503,23,1,40,255,,1551,,backfill
2026-08-28T20:00:00Z,2026-08-28,20,78329,549371,707304,79604,11.1%,255,530,24,1,40,259,,1552,,backfill
2026-08-28T21:00:00Z,2026-08-28,21,78341,576373,734564,79850,10.7%,276,554,26,1,40,259,,1556,,backfill
2026-08-28T22:00:00Z,2026-08-28,22,78352,581977,740339,80010,10.6%,305,579,27,1,41,260,,1558,,backfill
2026-08-28T23:00:00Z,2026-08-28,23,78417,585504,744024,80103,10.5%,310,590,28,1,42,262,,1561,,backfill
2026-08-29T00:00:00Z,2026-08-28,24,78426,589574,748103,80103,10.5%,317,603,28,1,42,262,,1562,,backfill
2026-08-29T01:00:00Z,2026-08-29,1,220,13751,14869,898,1.5%,10,14,1,0,2,2,,4,,backfill
2026-08-29T02:00:00Z,2026-08-29,2,319,15637,22905,6949,1.4%,32,36,3,0,4,8,,5,,backfill
2026-08-29T03:00:00Z,2026-08-29,3,388,16992,24380,7000,1.6%,39,46,3,1,5,10,,7,,backfill
2026-08-29T04:00:00Z,2026-08-29,4,523,19505,27043,7015,1.9%,42,70,8,1,8,15,,12,,backfill
2026-08-29T05:00:00Z,2026-08-29,5,1131,21237,29553,7185,3.8%,57,96,11,1,9,25,,18,,backfill
2026-08-29T06:00:00Z,2026-08-29,6,57594,23384,88226,7248,65.3%,130,133,13,1,12,36,,1086,,backfill
2026-08-29T07:00:00Z,2026-08-29,7,57722,32009,98490,8759,58.6%,154,169,16,1,16,55,,1093,,backfill
2026-08-29T08:00:00Z,2026-08-29,8,58021,47105,116553,11427,49.8%,193,199,20,1,16,62,,1108,,backfill
2026-08-29T09:00:00Z,2026-08-29,9,58945,55382,127438,13111,46.3%,692,520,47,5,21,76,,1137,,backfill
2026-08-29T10:00:00Z,2026-08-29,10,70971,71076,159594,17547,44.5%,2572,1751,197,12,69,295,,1385,,backfill
2026-08-29T11:00:00Z,2026-08-29,11,87489,91979,200758,21290,43.6%,3879,2602,300,23,106,446,,1623,,backfill
2026-08-29T12:00:00Z,2026-08-29,12,94636,102394,218433,21403,43.3%,5368,3241,381,31,135,790,,1911,,backfill
2026-08-29T13:00:00Z,2026-08-29,13,103062,129608,257783,25113,40.0%,7011,3870,445,35,155,997,,2149,,backfill
2026-08-29T14:00:00Z,2026-08-29,14,115951,166297,323180,40932,35.9%,8725,4389,518,39,184,1293,,2897,,backfill
2026-08-29T15:00:00Z,2026-08-29,15,122942,212489,382201,46770,32.2%,10212,4918,592,59,212,1548,,3128,,backfill
2026-08-29T16:00:00Z,2026-08-29,16,130240,233524,411494,47730,31.7%,11759,5468,668,67,238,1802,,3446,,backfill
2026-08-29T17:00:00Z,2026-08-29,17,141593,270831,463031,50607,30.6%,12878,5854,717,71,261,2046,,3877,,backfill
2026-08-29T18:00:00Z,2026-08-29,18,147944,281739,483308,53625,30.6%,13877,6158,759,82,286,2261,,4174,,backfill
2026-08-29T19:00:00Z,2026-08-29,19,159407,298953,515272,56912,30.9%,14873,6419,797,86,303,2506,,4580,,backfill
2026-08-29T20:00:00Z,2026-08-29,20,185004,321188,566734,60542,32.6%,16350,6744,851,94,322,2790,,5155,,backfill
2026-08-29T21:00:00Z,2026-08-29,21,202725,331267,598615,64623,33.9%,17833,7031,896,103,340,3034,,5676,,backfill
2026-08-29T22:00:00Z,2026-08-29,22,215504,347559,629657,66594,34.2%,18831,7315,931,104,348,3312,,6182,,backfill
2026-08-29T23:00:00Z,2026-08-29,23,226634,373573,669260,69053,33.9%,19789,7507,964,113,361,3475,,6715,,backfill
2026-08-30T00:00:00Z,2026-08-29,24,234628,417819,723705,71258,32.4%,20546,7684,989,117,367,3624,,7103,,backfill
2026-08-30T01:00:00Z,2026-08-30,1,21202,41286,71543,9055,29.6%,734,260,27,5,25,232,,639,,backfill
2026-08-30T02:00:00Z,2026-08-30,2,36196,76567,126473,13710,28.6%,1500,454,53,6,37,369,,1097,,backfill
2026-08-30T03:00:00Z,2026-08-30,3,49141,103077,173386,21168,28.3%,2102,586,66,8,50,510,,1496,,backfill
2026-08-30T04:00:00Z,2026-08-30,4,59809,112096,193380,21475,30.9%,2665,759,89,12,62,621,,1749,,backfill
2026-08-30T05:00:00Z,2026-08-30,5,73174,126936,224002,23892,32.7%,3300,969,112,15,82,767,,2071,,backfill
